"","user_id","book_id","review_id","rating","review_text","date_added","date_updated","read_at","started_at","n_votes","n_comments","has_spoiler"
"347","f4c6fe33ef61c38f7f4aeb5224c259a5",11387515,"13f03d0906f27f5202865787efdf1bbc",4,"I love how simple the story was told but the meaning of each words leave you think and make you realize. Auggie was indeed the epitome of courage, strength and wisdom. I love how each of the key characters had a chapter to show their own perspective. And each of them lead to one thing, their love and concern for Auggie. I really broke down on the graduation part. It was really a heart breaking scene and I can picture out how people who use to insult him, who use to talk behind his back and who use to scare away from him as if he has a contagious disease.","Sun Nov 04 00:40:58 -0700 2012","Mon Nov 12 04:14:02 -0800 2012","Mon Nov 12 04:14:02 -0800 2012","Sun Nov 04 00:00:00 -0700 2012",0,0,""
"447","4672eb229c808b792b8ea95f01f19784",11387515,"b43965893e709038e6066cb36814d75a",5,"4.5 stars rounded up to 5. So I had high expectations coming into this book and the beginning was kind of slow but I'd say my expectations were surpassed. 
 I was surprised to find out that this book had multiple povs, not just August (a.k.a. Auggie, our protagonist and main character). Those other povs turned out to be my favorite part of the book. It was a very clever addition that worked out because the other povs give us insight in how other people perceive August's facial deformities. It works so well because the author was spot on in her characterization of the characters. Their thoughts and their actions were 100% accurate/realistic and completely reflect how kids (and even adults) would act or think. Honestly, reading this transported me back to when I was in elementary school and I honestly emphasize so much. I was definitely one of those kids who didn't partake in bullying but I wouldn't stand up for the person either (I'm ashamed to say). 
 Kids and adults alike will enjoy this book and the message resonates no matter how old one may be. Everyone should be reminded of the message of this book and I genuinely think if I ever have a child/children I'm going to give them this book to read. I honestly teared up like twice throughout this book, but I'm a big sap, so. 
 Also, the book I was reading had an extra ""Julian"" chapter and while I think it was a nice touch it wasn't as resonating or good as the main book imo, but maybe I'm being too harsh.","Tue Jan 01 17:37:26 -0800 2013","Sun Oct 02 14:05:25 -0700 2016","Tue Apr 12 00:00:00 -0700 2016","Sun Nov 29 00:00:00 -0800 2015",1,0,"False"
"599","559d843b319087e12f48282e386e401f",11387515,"c521e759e6e439b3a6934c9a7c1f8b26",2,"Nja, inte sa bra som jag vantade mig.","Sat Mar 16 04:49:29 -0700 2013","Wed Mar 20 14:23:54 -0700 2013","Wed Mar 20 14:23:54 -0700 2013","Sat Mar 16 00:00:00 -0700 2013",0,0,""
"1987","0aa3757d0211254712a16bd8289b461d",11387515,"4c087f8bac51e6fb3252c612b173154b",5,"I love love love Wonder; it's wonderfully written, great story, and I enjoyed talking about it with my friends back in the day I first read it 2-3 years ago... Wonder told us about the struggling life of August Pullman (Auggie). The main issue is something we could relate in our daily life; in our interaction with family at home or in the school life to be exact. And the overal issues that Wonder told to us is something really realistic. I cried a bucket in the bullying part when I first read Wonder, since it's one of the issues I concern the most.","Sat Oct 22 20:24:55 -0700 2016","Sat Oct 22 20:35:40 -0700 2016","","",1,0,""
"2739","acf91eeac51895f858adc7680f737163",11387515,"613c1498c3a20ad700be3a37bb9232bd",4,"Fan-freaking-tastic! Loved it! After Atticus Finch, Isabel and Nate Pullman are my FAVORITE literary parents. I laughed. I cried. JUST READ IT!! (Why not 5 stars you ask? Because I listened to the audiobook and the last 45 minutes are pretty uneventful and I got a tad bored.)","Mon Aug 04 22:00:45 -0700 2014","Mon Aug 04 22:04:05 -0700 2014","","",0,1,""
"3595","7320ee6c9368d2bc9e39a7281939160f",11387515,"223f9f4fed8184f5dad37d58ce7bf419",5,"Wonder by R.J. Palacio. (c)2012. 5 Stars. I got this ebook from the library. Engaging from the very start. A heavy subject written with a light touch. A middle grade read which should be mandatory in that it deals with self-image and bullying in young people's lives at school and beyond. Highly recommend!","Sat Aug 05 05:30:19 -0700 2017","Sun Sep 17 12:45:54 -0700 2017","Thu Sep 14 00:00:00 -0700 2017","Tue Sep 12 00:00:00 -0700 2017",11,0,""
"3836","39033ab7e75193eec5e44f0b750ac142",11387515,"b35782dcad34c2f252348ea64d86ca76",5,"When you finish this book, you won't help but notice the rising of the hairs at the back of your neck, and the feeling that August Pullman isn't a fictional character, but a real person living in New York City at this very moment. Excellent, excellent read. I await Palacio's next work, which I am sure would be just as endearing.","Mon Jul 16 01:31:41 -0700 2012","Sun Aug 11 18:23:41 -0700 2013","","Fri Jul 20 00:00:00 -0700 2012",0,0,""
"4017","8d05420db5a5ef6d521d3fda5ec5ba81",11387515,"1e25db98bffd4239472c1a041be1712f",5,"WONDER is a book you snuggle with when you finish the last page. 
 I knew this was a book about a boy with a facial abnormality, but I didn't really know what else to expect. I was surprised by the several POV's and the wonderful story of a boy and his family. 
 WONDER made me laugh hysterically and cry like a baby and sometimes, both at the same time-- like when Jack told Auggie he should sue his plastic surgeon. 
 I loved that this book doesn't make you feel sorry for Auggie (the MC), it opens your eyes to his world and the world of those who are surrounding him and loving him. 
 The characters in this book were so believable. They each love Auggie, but struggle with their own feelings of peer pressure, insecurity and pride. 
 This is such a beautiful book with a theme to be more kind than necessary. There should be more books like this out there! 
 Thank you RJ Palacio!","Thu Jun 07 06:36:36 -0700 2012","Thu Jan 03 16:05:14 -0800 2013","Thu Jun 07 00:00:00 -0700 2012","",0,0,""
"4149","ab2fadb5c7bbe55c80406d2b3692e969",11387515,"4f87024ce75aaa94dde566ca5aba821b",5,"""I think there should be a rule that everyone in the world should get a standing ovation at least once in their lives."" 
 I agree, Auggie. Ms. Palacio, I'm giving you one right now, for this amazing book. 
 In case you've been living under a rock, here's a basic summary of Wonder: August Pullman is the new kid at Beecher Prep- in fact he is new to a standard school setting in general, having previously been home-schooled- but that's not the only thing that makes him an object of curiosity. Because of a genetic disorder, he was born with facial deformities that- despite numerous surgeries and medical procedures- are still quite shocking to behold. His first year of ""regular"" school is sure to be a challenge, but it might turn out to be a triumph as well. 
 This is an amazing story. Auggie has a touching, authentic voice and his experiences are raw and honest. On one level, Wonder has similarities to your average school story- friendship problems, trouble with bullies, family ups and downs, and more- but the author raises the bar, and makes this story more important than a simple tale for entertainment. Palacio's writing is powerful; full of pure emotion and some really beautiful sentiments. The main thread of the book focuses on how wonderful and necessary it is for a person to be accepted and cherished for who they are inside- a lesson that can never be emphasized enough.","Sat Mar 23 08:18:35 -0700 2013","Sat Apr 06 13:26:37 -0700 2013","Sat Mar 16 00:00:00 -0700 2013","",0,0,"False"
"4249","f194d32cd02f8477d1cc667c00661462",11387515,"947f2c89742fc606b93e2b4ed205f070",5,"This is such a good book about friendship..Sincerity is the most imporatant things to have in a friendship....Auggie is such a awesome kid that went through difficulties at school... 
 Precept from Mr Browne.... 
 YOUR DEEDS ARE YOUR MONUMENTS 
 ""This precept means that we should be remembered for the things we do. The things we do are the most important things of all. They more important than what we say or what we look like. The things we do outlast our mortality. The things we do are like monuments that people do to honor heroes after they've died. They're like the pyramids that the Egyptian build to honor the pharaohs. Only instead of being made out of stone, they're made out of memories people have of you. That's why youe deeds are like your monuments. Build with the memories instead of with stone."" 
 I really like this precept.","Wed Nov 07 08:28:23 -0800 2012","Wed Nov 28 08:53:22 -0800 2012","Thu Nov 29 00:00:00 -0800 2012","Sun Nov 11 00:00:00 -0800 2012",0,0,""
