"","user_id","book_id","review_id","rating","review_text","date_added","date_updated","read_at","started_at","n_votes","n_comments","has_spoiler"
"171","4fe16e3bcbbce3f8801ac6924217fd3b",29780253,"5e67c3f18e67b13648b06797dcd03f1f",5,"I am on my second reading of Trevor Noah's Born a Crime short memoir for two reasons: first, it's a very quick, enjoyable read with moments of humor, terror and disgust in it; second, because I want to understand how a person can come across so genuine but have moments that make you doubt their soul at a fundamental level. 
 Born a Crime is Noah's story of birth and survival under South African apartheid rule, the chaos after that rule fell and how his light skin (but not too light), dark skin (but not too dark), luck and nerve served and failed him. Each chapter, you read about how he engages in misfortune and adventure only to see one of his friends or family members be claimed by the oppressive governmental forces or the specter those forces cast, and just when you think it's going to be Noah himself, the finger of fate touches someone close to him. 
 The entire book is a loving tribute to his mother, who if even half the things were true, sounds like a model for all mothers and an outspoken work for reforming how we approach domestic abuse. He gives an unflinching eye on how far can you support someone who's willing to live in a bad relationship. 
 There's also enough visceral details on what poor and starving people use for food to last a reader a very long while. 
 What's definitely noticeable are the tales left behind in the margins: what happened to Teddy who went to jail for eating chocolates, how Trevor helped raise his two brothers after a harrowing event, and the challenges of becoming a comedian in South Africa and eventually the big question: how did he get out of South Africa? which is a recurring theme but unsatisfactorily never answered. The sad effect of these omissions is that it makes the book seem narcissistic at times which he readily cops to in the book, so that may be the truth. 
 Overall, while I feel enriched for his story and I'm happy he's made it out of that place, I like him a little less as a person.","Fri Nov 25 10:41:07 -0800 2016","Tue Dec 06 12:27:48 -0800 2016","Thu Dec 01 00:00:00 -0800 2016","Fri Nov 25 00:00:00 -0800 2016",1,0,""
"237","d37b46b2190ed7c518259f29b47a9b36",29780253,"05d9a5799c7d2f1ea28f0013d865e2a7",5,"This is a phenomenal memoir by Trevor Noah the late night comedian who took over for Jon Stewart. I had no idea that Noah was South African and that he grew up under the evils of apartheid. It was illegal for blacks and whites to have sex or relations and since he was a product of such a union, he was ""Born a Crime. The work explores race, poverty, abuse, alcoholism, getting by with little, fierce maternal love, and the art of the hustle. I listened to the audiobook narrated by himself, which was a special treat. Loved It!!","Thu Mar 09 20:19:47 -0800 2017","Thu May 11 07:57:06 -0700 2017","Sun Mar 19 12:45:29 -0700 2017","Thu Mar 09 00:00:00 -0800 2017",7,0,""
"628","0c5b36407771dfd65acdd812ecd51705",29780253,"f13a0ce5ace60a7afd424f1b66b2571b",5,"Best book I've read so far this year and probably one of the best memoirs I've read.Period. In his own way, Noah gets you to understand the post-apartheid era in South Africa. A country, that like a modern day Picasso is full of complex emotions and social paradoxes and one that only a master story-teller can hope to describe. Noah does that brilliantly, keeping you swinging from laughter to tears and back, one sentence at a time. Can't recommend it highly enough.","Wed Jan 11 11:50:55 -0800 2017","Sat Aug 12 23:33:26 -0700 2017","Sat Aug 12 23:27:07 -0700 2017","Sun Jul 16 13:55:37 -0700 2017",0,0,""
"1375","01765a61b489e69584d0343a574c1246",29780253,"cd8576dd8912d17c50d8163d6921144d",4,"I have enjoyed the Daily Show since Trevor Noah has taken the helm. This book gives you a background on Trevor and South Africa I have never read before. I really enjoyed it.","Wed Dec 07 10:22:21 -0800 2016","Wed Dec 14 10:50:06 -0800 2016","Wed Dec 14 10:50:06 -0800 2016","Wed Dec 07 00:00:00 -0800 2016",0,0,""
"1807","5752e83b5c1ccdd8014aaf358b80c199",29780253,"bf7e6f45fafa183bf1efc8f37303a7ca",5,"Wow. The audiobook is incredible. So fascinating and powerful. I wish I could have all my students read or listen to this book.","Tue Aug 29 11:29:27 -0700 2017","Wed Oct 04 09:19:03 -0700 2017","Fri Sep 01 00:00:00 -0700 2017","Tue Aug 29 11:29:28 -0700 2017",0,0,""
"3215","f3b6681e5b08aa06cfff4db8833284a9",29780253,"8f76f122c41e0d453b7c0aaec921395d",5,"Absolutely outstanding. Captures the nuances of South African culture while always making you laugh. I loved doing the audio book on this one for all the Xhosa he speaks and nailing the tough pronunciations. Recommending to everyone.","Thu Jan 26 15:01:58 -0800 2017","Thu Jan 26 15:03:48 -0800 2017","Thu Jan 26 00:00:00 -0800 2017","",0,0,""
"3375","55e49b52c2e6296a4ac30e754abe7651",29780253,"8a3aaef2c2a7b3c5202046d4ce0f633d",5,"Trevor Noah is basically the best person ever. So touching and motivating; and always funny.","Mon Aug 07 09:21:52 -0700 2017","Mon Aug 07 09:22:23 -0700 2017","","",9,0,""
"3647","e8a8e8152ee8def16bc90b306be7caf2",29780253,"b94b068f4f1b9b54bb7a158b49c81e89",4,"This was a fascinating read. Trevor Noah maintained his level of humor while remaining honest and reflective of his childhood in South Africa. It is such a unique story and I am grateful he takes the time to tell it. My only critique is I was expecting a part of the book to discuss his career and how he grew into comedy and came to America. But on further reflection, I realize that is not what the purpose of the book was; the purpose was to tell stories of his childhood as a colored child in South Africa. And it was excellent.","Wed Feb 22 08:25:31 -0800 2017","Mon Jun 12 13:20:56 -0700 2017","Sat Apr 29 13:04:22 -0700 2017","Wed Apr 26 21:25:44 -0700 2017",1,0,""
"3989","6d9db867ebce53e060a84e70aed0fa82",29780253,"54bcd9457e122249ade336abbda842ba",5,"This is *hands down* the best audio book I've ever listened to. Trevor Noah narrates the book himself, and it is as if you are hanging out with him in your living room, just listening to him telling stories. It doesn't seem as if he is reading a book AT ALL. His life, his stories, are so amazing. HIGHLY recommend!","Sun Jan 15 10:38:04 -0800 2017","Mon Jan 30 10:52:53 -0800 2017","Mon Jan 30 10:52:53 -0800 2017","Sun Jan 15 00:00:00 -0800 2017",0,0,""
"4367","9a2b789ce311cfafad88b779860f46be",29780253,"19a8358c629b4c1dac08bb52bce8dd3c",5,"Trevor Noah shares his experiences growing up in South Africa amidst the end of apartheid. He is an insightful storyteller and gives powerful examples of growing up in a racist world.","Wed Jan 04 20:53:35 -0800 2017","Wed Jan 04 21:01:49 -0800 2017","","",0,0,""
"6384","638efc534b61a284b46838049561f400",29780253,"0e2fa04c71a7e45261cdff1d99414e5b",4,"It's a story of hope ...","Sun Oct 02 18:25:56 -0700 2016","Sat Jun 03 02:07:54 -0700 2017","","",0,0,""
"7615","d6804aa6e3a96b8e1104b8b9ac3fe882",29780253,"afbbfca54bbd72ccf7809d0d85655702",5,"I enjoy Trevor Noah on TV and was interested to read his memoir--- because I don't know a lot about South Africa. I didn't expect much. 
 This is the story of his childhood/adolescence and growing up with his single mother-- a story of surviving life in South Africa and being treated as a second class citizen. We learn about his family and what he did in high school. This book does not go past the first couple of years out of high school--- nor does it touch on him becoming a comedian, but it is really well written and gives a good idea about life in South Africa for a ""colored"" child. 
 I hope he continues to write--- I would love how he went from a DJ in SA to a late night tv host in NYC.... 
 Read if you enjoy autobiographies or want to learn more about South Africa.","Fri Feb 24 07:01:56 -0800 2017","Thu Mar 23 06:37:28 -0700 2017","Wed Mar 08 00:00:00 -0800 2017","Fri Feb 24 00:00:00 -0800 2017",0,0,""
"11449","1a4eeeddcf390be6d3820fde01986abf",29780253,"3a41624aa85599b9104ad6e02a4ea0ce",5,"Seemed like a natural follow-up to The Daily Show's oral history -- but Noah doesn't really address his stand-up career or his takeover from Jon Stewart; instead, he focuses on growing up in apartheid-era South Africa and how it shaped him as a person. Noah's mom sounds like an absolute badass lady, and after reading this book I can see why he mentions her so often. I've read plenty of history but this is the first memoir I can remember reading that explicitly addresses some of the complications of growing up under apartheid -- it's worth reading for the history lesson alone, but Noah's heart and unique perspective on life really come through in his writing. It reminded me why I had been so excited for him to take over The Daily Show in the first place.","Sat Dec 10 17:17:44 -0800 2016","Sat Dec 10 17:22:14 -0800 2016","Sat Dec 10 00:00:00 -0800 2016","Wed Dec 07 00:00:00 -0800 2016",2,0,"False"
"11506","2291b04d2f782ad1f292e1b85b8e3eb0",29780253,"123c794781e4d5177c1881539d30a061",4,"Trevor Noah is an interesting person. His memoir is unusually structured. He tells and re-tells his story from slightly different points-of-view about four or five times over. I couldn't help but to think that he might have just put down his comedy routines on paper and really didn't edit it into a whole. He is very entertaining and seems very smart.","Sun May 28 15:21:16 -0700 2017","Thu Jun 01 12:19:30 -0700 2017","Fri May 26 00:00:00 -0700 2017","Sun May 14 00:00:00 -0700 2017",0,0,""
"14565","f8ee8300ff446563dbf253d306863b69",29780253,"55b731839589355c568d6e12c40ca8d4",5,"The audio version is great. Love hearing the accents.","Mon Oct 23 10:00:43 -0700 2017","Mon Oct 23 10:02:19 -0700 2017","Mon Oct 23 10:13:22 -0700 2017","",0,0,""
"14770","f7a0624b271819037259ac2d7e058bef",29780253,"b652ec193db784fba09ed220c40e9462",5,"I am not big on non-fiction. I am not big on audio books either. So for me to give this book five stars is pretty surprising. 
 As I said, I listened to this on audio book, which I recommend. Noah is narrating it and I always like when that's the case with autobiographies. He does a great job, and hearing him imitate accents and talking in different langagues gives life to the whole thing. 
 I think this autobiography was really skillfully crafted. The way he jumped back and forth in time, making associations, telling little side-anecdotes, but always driving the chapter home in the ens was impressive. I also really enjoyed the topic: I know very little about South Africa and Apartheid, so I was eager to learn. And so I did, thanks to the way this was told. 
 Noah found a great balance between political, personal, funny and emotional and I am glad that I took the chance on him.","Sun Jan 29 22:39:34 -0800 2017","Mon Feb 06 12:00:59 -0800 2017","Mon Feb 06 12:00:59 -0800 2017","Sun Jan 29 00:00:00 -0800 2017",0,0,""
"15411","8d12cbd29460a3c8bfe06ac67906cad1",29780253,"e925bc094222cba0d2b6791557ba14a6",4,"Really 4.5. I probably wouldn't have found my way to this book myself but I got it as a gift and couldn't put it down once I started reading. Thanks, Kerri!","Sun Jan 22 08:08:36 -0800 2017","Sun Jan 22 08:09:27 -0800 2017","Sun Jan 22 08:09:27 -0800 2017","",0,0,""
"15655","83f2d1896a7334deb8e975c4944af3ca",29780253,"8855c654ca494a3cc0fd1800b6d85c90",4,"Good narrative of a funny man's life - which doesn't come out when you see Trevor on the screen cracking all the jokes. It's a motivating story of a man who overcame all the hardships and tribulations living in a third world country torn apart by apartheid, and eventually becoming such and international success. All I felt after reading the book was well done Trevor, you deserve all the success!","Tue Dec 27 01:32:58 -0800 2016","Tue Dec 27 01:39:10 -0800 2016","Tue Dec 27 01:39:10 -0800 2016","Tue Dec 13 00:00:00 -0800 2016",0,0,""
"18441","97e1601d7d25937b61d771ff83a056ab",29780253,"01670c5ecf3167e79c871c9d2c750614",4,"This was so much more than a comedian memoir. A story of understanding South African apartheid, coming of age, making trouble, loving his mother, and suffering domestic violence. I listened to the audiobook narrated by Trevor, and I couldn't believe how he kept his composure. But it was a lovely reading, and hearing the Tonga and Zulu spoken was wonderful. The ending was shocking, heartful, and satisfying -- very intelligently arranged as mostly chronological, but slightly out of order for maximum plot development.","Thu Nov 17 18:36:29 -0800 2016","Wed Jan 04 07:34:42 -0800 2017","Wed Jan 04 00:00:00 -0800 2017","Mon Dec 05 00:00:00 -0800 2016",0,0,""
"18459","8c363fed915121cac8fad11b4b6fa0a7",29780253,"1f29bd2f16c42e6edf35e2043fc47a34",5,"I laughed so much while reading this but there are many moments that made me realize just how much we have in common with South Africa.","Sat Jan 07 19:27:02 -0800 2017","Mon Oct 02 15:52:51 -0700 2017","Mon Oct 02 15:52:51 -0700 2017","Sun Oct 01 00:00:00 -0700 2017",0,0,""
"18780","3b270a7a12bd4efe06e3d556aa599d72",29780253,"689fff4e3407d24515fbd1ba7e2f683f",5,"Holy shit. If there is one book that you need to read this year, let it be this one. 
 Been trying to prolong the lifespan of this book by limiting myself to only a few pages a day. That's how good it was. 
 Though far from being lyrical or poetic, this was beautifully written in a raw and honest way. Hilarious and illuminating throughout. The last chapter where he talks about how his mother survived a shot to the face gave me chills. 
 This book cannot receive too much hype and I now have mad respect for Trevor Noah.","Fri Mar 03 23:03:40 -0800 2017","Fri Mar 10 12:22:00 -0800 2017","Sat Mar 11 00:00:00 -0800 2017","Fri Mar 03 00:00:00 -0800 2017",1,0,""
"19842","1484e0cadd1bb0f6a2ede757c250a1ab",29780253,"bcce6f6a9f534ca7bfb51131ed85f2e2",4,"Very enjoyable and insightful read. Noah gives an entertaining account of growing up in South Africa as a mixed child in different communities: black, white, colored. At heart is his relationship with his mother, who seems like a wonderful woman and a great influence on his life.","Wed Nov 23 05:26:24 -0800 2016","Wed Nov 23 05:30:03 -0800 2016","Wed Nov 23 05:30:03 -0800 2016","",0,0,""
"19959","480564a6be18fc8d0046963a1b2f10dd",29780253,"4c120f9a0b140cd00794de887a5e93c4",5,"Full 5 stars. This was just fantastic for me! It feels trite to say ""I laughed, I cried,"" and it wouldn't be entirely accurate; I not only laughed, I fucking howled. I not only cried, I sobbed like a little baby. I am not used to this level of emotion on my commute.","Mon Dec 05 22:41:56 -0800 2016","Thu Jun 01 00:20:36 -0700 2017","Thu Jun 01 08:32:18 -0700 2017","Fri May 26 00:00:00 -0700 2017",2,0,"False"
